Sensor,Value,Time,Status
Temperature,40,16:48:47,CRITICAL
Current,38,16:48:47,CRITICAL
Temperature,34,16:48:48,OK
Current,26,16:48:48,CRITICAL
Temperature,25,16:48:49,OK
Current,31,16:48:49,CRITICAL
Temperature,30,16:48:50,OK
Current,28,16:48:50,CRITICAL
Temperature,26,16:48:51,OK
Current,30,16:48:51,CRITICAL
Sensor,Value,Time,Status
Temperature,41,16:57:11,CRITICAL
Current,42,16:57:11,CRITICAL
Temperature,27,16:57:12,OK
Current,45,16:57:12,CRITICAL
Temperature,39,16:57:13,CRITICAL
Current,30,16:57:13,CRITICAL
Temperature,45,16:57:14,CRITICAL
Current,28,16:57:14,CRITICAL
Temperature,41,16:57:15,CRITICAL
Current,40,16:57:15,CRITICAL
